SMILES,Tg,Tm
*CCCCCC(Cl)C(*)Cl,-17.0,53.0
*CC/C=C(/*)C,-67.0,35.5
*/C=C/C(C)C*,-35.0,53.0
*CC/C(C)=C(/*)C,4.0,198.0
*C1C=CC(*)CC1,125.5,280.0
*CC(*)C=C,-7.0,140.7
*CO*,-71.0,177.0
*OC(*)C,-19.5,165.0
*OC(*)CCC,-41.0,225.0
*CCO*,-56.0,62.6
*CC(C)O*,-70.2,69.0
*CC(CCl)O*,-23.3,117.0
*CC(CBr)O*,-14.0,112.0
*CC(COC)O*,-62.0,57.0
*CC(C)(C)O*,40.5,158.0
*CC(CCCC)O*,-69.0,71.5
*CC(O*)C(C)(C)C,41.0,144.75
*CC(COCCCC)O*,-79.0,27.0
*CC(CCCCCC)O*,-67.0,86.5
*CC(COCCCCCC)O*,-85.5,44.0
*CC(O*)c1ccccc1,34.0,149.0
*CC(COc1ccccc1)O*,42.0,208.0
*CCCO*,-73.6,34.9
*CC(C)(C)CO*,-50.0,64.0
*CC(CO)(CO)CO*,99.0,295.5
*CC(CCl)(CCl)CO*,6.5,179.0
*CCCCO*,-80.0,37.3
*CCCCCCCCO*,-13.0,79.75
*Oc1ccc(*)cc1,85.0,262.0
*Oc1cccc(*)c1,53.0,59.0
*Oc1c(C)cc(*)cc1C,212.0,258.75
*Oc1c(OC)cc(*)cc1OC,174.1,287.0
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,220.0,482.5
*CCOCO*,-64.0,58.0
*CCCCOCO*,-84.0,27.0
*CCCCCOCO*,-80.0,37.5
*CCOCCOC(=O)CCCCCCCC(=O)O*,-71.0,-31.0
*CCOCCOC(=O)CCCCCCCCC(=O)O*,-74.5,46.5
*C(=O)OCCOC(=O)c1ccc(*)o1,88.95,211.0
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,16.0,90.0
*CCOC(=O)c1ccc(O*)cc1,84.0,223.0
*Oc1ccc(C(=O)OCCOC(=O)c2ccc(*)cc2)cc1,74.0,134.0
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,53.0,252.0
*Oc1ccc(C(=O)OCCCCCOC(=O)c2ccc(*)cc2)cc1,26.0,70.0
*Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc(*)cc2)cc1,15.0,74.0
*CC(=O)NCCCCCCNC(=O)CO*,10.0,172.0
*CCCNC(=O)CCCCC(=O)NCCCO*,34.0,200.0
*CC(=O)NCCCCCCNC(=O)Cc1ccc(O*)cc1,69.5,180.0
*CC(=O)NCCCCCCNC(=O)CCc1ccc(O*)cc1,72.0,226.0
*CC(=O)NCCCCCCNC(=O)COc1ccc(O*)cc1,67.0,239.0
*CCCNC(=O)c1ccc(C(=O)NCCCO*)cc1,72.0,284.0
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,70.0,243.0
*CCC(=O)NCc1cc(C)c(CNC(=O)CCO*)cc1C,80.0,248.0
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,264.0,425.0
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,240.5,516.0
*CCOCCOC(=O)NCCCCCCNC(=O)O*,17.0,135.0
*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,-6.5,114.0
*CC(=O)OC(=O)COc1ccc(O*)cc1,70.0,158.0
*COc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,84.0,220.0
*CCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,45.0,225.0
*CCCOc1cccc(C(=O)OC(=O)c2cccc(O*)c2)c1,53.0,197.0
*CCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,95.0,266.5
*CCCCOc1cccc(C(=O)OC(=O)c2cccc(O*)c2)c1,20.0,199.0
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,45.0,204.0
*CCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,53.0,188.0
*CCCCCOc1cccc(C(=O)OC(=O)c2cccc(O*)c2)c1,61.0,176.0
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,47.0,150.0
*COCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,57.0,192.0
*CCOCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,41.0,190.0
*CC(=O)OC(=O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,105.0,202.0
*Oc1ccc(Oc2ccc(OC(*)=O)cc2)cc1,118.0,235.0
*c1ccc(-c2ccc3nc(Oc4cc(-c5ccccc5)c5cc(*)ccc5n4)cc(-c4ccccc4)c3c2)cc1,300.0,455.0
*c1ccc(-c2ccc(-c3ccc4nc(Oc5cc(-c6ccccc6)c6cc(*)ccc6n5)cc(-c5ccccc5)c4c3)cc2)cc1,308.0,480.0
*c1ccc(Oc2ccc(-c3ccc4nc(Oc5cc(-c6ccccc6)c6cc(*)ccc6n5)cc(-c5ccccc5)c4c3)cc2)cc1,268.5,448.0
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(*)nn3)cc2)cc1,180.0,250.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,186.0,244.0
*CCOCCOC(=O)c1ccccc1C(=O)O*,-50.0,10.5
*OC(*)CCCCCC,-116.0,130.0
*CCOCCOC(=O)C(=O)O*,-28.0,10.0
*CCOCCOC(=O)CC(=O)O*,-41.5,-11.0
*CCOCCOC(=O)CCC(=O)O*,-38.2,-9.5
*CCOCCOC(=O)CCCC(=O)O*,-55.0,-12.0
*CCOCCOC(=O)CCCCC(=O)O*,-51.0,-24.0
*CCOCCOC(=O)CCCCCC(=O)O*,-41.5,-26.0
*CCOCCOC(=O)CCCCCCC(=O)O*,-66.0,31.5
*Oc1ccc(Oc2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,150.5,316.0
*CC(CCCCCCCCCC)O*,-41.0,102.5
*CCOCCOCCOc1ccc(/C=C(\C)c2ccc(O*)cc2)cc1,16.0,104.0
*CCOCCOCCOCCOc1ccc(/C=C(\C)c2ccc(O*)cc2)cc1,7.5,48.0
*OC1CCCCC1*,68.5,82.0
*Oc1ccc(C(=O)OCCCOC(=O)c2ccc(*)cc2)cc1,57.0,90.0
*Oc1ccc(C(=O)OCCCCOC(=O)c2ccc(*)cc2)cc1,38.0,88.0
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,-17.0,83.0
*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,-31.0,65.0
*c1ccc(-c2nnc(-c3cccc(-c4nnc(*)o4)c3)o2)cc1,278.0,400.0
*CCCCCCCCc1nc2ccc(-c3ccc4nc(*)oc4c3)cc2o1,223.5,246.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,147.5,275.0
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,155.0,248.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,199.7,255.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,282.0,395.0
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,210.0,310.0
*CC(CC)(CC)CO*,-30.0,81.5
*CCOCCOCCOCCOCCOc1ccc(/C=C(\C)c2ccc(O*)cc2)cc1,17.0,40.0
*CCCCCCCOc1ccc(-c2ccc(O*)c3ccccc23)c2ccccc12,129.5,239.0
*CCCCCCOc1ccc(-c2ccc(O*)c3ccccc23)c2ccccc12,109.0,280.0
*CCCCCOc1ccc(-c2ccc(O*)c3ccccc23)c2ccccc12,151.0,196.0
*CCCCOc1ccc(-c2ccc(O*)c3ccccc23)c2ccccc12,130.0,324.0
*CCCOc1ccc(-c2ccc(O*)c3ccccc23)c2ccccc12,182.0,278.0
*CCOCCOCCOC(=O)CCCCC(=O)O*,-49.0,-30.0
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,20.0,100.5
*CCOCCOCCOC(=O)CCCCCC(=O)O*,-44.5,-37.0
*OC(CCl)C(*)CCl,95.0,235.0
*CCOCC(=O)O*,-12.6,105.7
*CCCCCCCC(=O)OCC1(C)COC(*)OC1,-26.0,81.0
*CCCCCCCC(=O)OCCCCC1COC(*)O1,-44.0,23.0
*CC(O)CO*,17.0,140.0
*CCOCCOC(=O)c1ccccc1-c1ccccc1C(=O)O*,17.0,74.5
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,50.0,141.75
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,21.9,82.1
*Oc1cccc(NC(=O)CCCCC(=O)Nc2ccc(*)cc2)c1,160.0,225.0
*Oc1ccc(NC(=O)CCCCC(=O)Nc2ccc(*)cc2)cc1,230.0,360.0
*Oc1cccc(NC(=O)CCCCCCCC(=O)Nc2ccc(*)cc2)c1,120.0,150.0
*Oc1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(*)cc2)cc1,160.0,300.0
*Oc1cccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(*)cc2)c1,110.0,150.0
*Oc1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(*)cc2)cc1,150.0,290.0
*Oc1cccc(NC(=O)CCCCCC(=O)Nc2ccc(*)cc2)c1,130.0,170.0
*Oc1ccc(NC(=O)CCCCCC(=O)Nc2ccc(*)cc2)cc1,180.0,315.0
*Oc1cccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(*)cc2)c1,125.0,165.0
*Oc1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(*)cc2)cc1,160.0,310.0
*Oc1cccc(NC(=O)CCCCCCC(=O)Nc2ccc(*)cc2)c1,140.0,175.0
*Oc1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(*)cc2)cc1,180.0,310.0
*Oc1cccc(NC(=O)CCCCCCCCCC(=O)Nc2ccc(*)cc2)c1,110.0,140.0
*Oc1ccc(NC(=O)CCCCCCCCCC(=O)Nc2ccc(*)cc2)cc1,150.0,270.0
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)c(CC)c3)c2)cc1CC,126.0,242.0
*Oc1c(C(C)C)cc(C(=O)c2cccc(C(=O)c3ccc(*)cc3)c2)cc1C(C)C,132.0,185.0
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)c(C(C)C)c3)c2)cc1CC,136.0,228.0
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)c(C(C)C)c3)c2)cc1C,147.0,220.0
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)c(C(C)C)c3)cc2)cc1C,149.0,262.0
*c1ccc(-c2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,326.0,475.0
*c1ccc(-c2ccc(-c3nc4ccccc4c(-c4ccc(Oc5ccc(-c6c(-c7ccccc7)c(*)nc7ccccc67)cc5)cc4)c3-c3ccccc3)cc2)cc1,345.0,500.0
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,305.0,476.0
*c1ccc(-c2nc3ccc(Oc4ccc5nc(*)c(-c6ccccc6)c(-c6ccccc6)c5c4)cc3c(-c3ccccc3)c2-c2ccccc2)cc1,345.0,475.0
*c1ccc(-c2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,351.0,480.0
*Oc1cccc(C(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)c2cccc(*)c2)c1,20.0,115.0
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,164.5,270.5
*Oc1ccc(Oc2ccc(OC(=O)c3cc(OCCCCC)cc(C(*)=O)c3)cc2)cc1,126.0,278.0
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)nc6c5)cc4nc3-c3ccccc3)cc2)cc1,437.0,310.0
*CCCCCCCC(=O)OCCOC(=O)CCCCCCCC1OCC2(COC(*)OC2)CO1,0.0,91.0
*ON(C(F)(F)F)C(F)(Br)C(*)(F)F,3.0,100.1
*CC(CO*)C(C)(C)C,-4.0,62.5
*CC(C)(CC)CO*,-47.0,45.0
*CC(C)(CO)CO*,62.0,169.0
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,157.0,386.0
*Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(*)cc4)c3)cc2)cc1,148.0,280.0
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,159.0,309.5
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,152.0,285.0
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(-c4ccc(-c5ccc(S(=O)(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,259.0,393.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(-c4ccc(S(=O)(=O)c5ccc(Oc6ccc(-c7ccc(*)cc7)cc6)cc5)cc4)cc3)cc2)cc1,264.0,383.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(-c4ccc(S(=O)(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,311.0,398.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(-c5ccc(*)cc5)cc4)cc3)cc2)cc1,251.0,389.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(-c6ccc(-c7ccc(*)cc7)cc6)cc5)cc4)cc3)cc2)cc1,263.0,408.0
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(=O)c5cccc(C(=O)c6ccc(*)cc6)c5)cc4)cc3)cc2)cc1,174.0,394.0
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)cc3)c2)cc1,139.0,295.0
*CCCOCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,18.5,101.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,151.0,229.0
*CNC(=O)OCc1ccc(COC(=O)NCc2ccc(C(C)(C)c3ccc(*)o3)o2)o1,55.0,180.0
*CNC(=O)OCC(OC(=O)NCc1ccc(C(C)(C)c2ccc(*)o2)o1)c1ccco1,20.0,170.0
*CNC(=O)OCc1ccc(COCc2ccc(COC(=O)NCc3ccc(C(C)(C)c4ccc(*)o4)o3)o2)o1,39.0,173.0
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3ccc(*)o3)cc2)cc1,81.0,198.5
*CNC(=O)OCc1cocc1COC(=O)NCc1ccc(C(C)(C)c2ccc(*)o2)o1,25.0,165.0
*COC(=O)NCc1ccc(CNC(=O)OCc2ccc(*)o2)o1,75.0,170.0
*CNC(=O)OCC(OC(=O)NCc1ccc(*)o1)c1ccco1,30.0,160.0
*COC(=O)NCCCCCCNC(=O)OCc1ccc(*)o1,33.0,185.0
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,64.0,146.5
