SMILES,Tg,Tm
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,279.0,370.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)c2)cc1,282.5,355.0
*CCOC(=O)c1ccc(C(=O)O*)c2ccccc12,64.0,170.0
*CC(=O)O*,45.0,219.0
*CCCC(=O)O*,1.5,64.4
*CCCCC(=O)O*,-66.0,57.9
*CCCCCC(=O)O*,-60.0,59.0
*CCCCCCCCCCC(=O)O*,-46.05,93.0
*CCCCCCCCCCCCC(=O)O*,-36.0,95.5
*CCCCCCCCCCCCCCC(=O)O*,-22.1,95.0
*CCCCCCC(=O)O*,-14.0,81.0
*CCCCCCOC(=O)CCCCC(=O)O*,-69.0,56.5
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,-17.0,92.7
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-26.0,109.0
*CCCOC(=O)c1ccc(C(=O)O*)cc1,52.0,226.0
*CCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,-22.5,36.0
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,37.5,123.0
*CC(CCCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCC)COC(=O)c1ccc(C(=O)O*)cc1,-26.0,14.0
*CCCCCOC(=O)c1cccc(C(=O)O*)c1,7.0,79.0
*CCCCCCOC(=O)c1cccc(C(=O)O*)c1,5.5,112.5
*CC1CCC(COC(=O)CCC(=O)O*)CC1,-1.0,146.0
*CCOC(=O)CCCCCC(=O)O*,-46.0,32.5
*CCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,-1.0,100.0
*CCCCCCOC(=O)C(=O)O*,66.5,72.0
*Oc1ccc(C(*)=O)cc1,161.0,533.0
*OC(C)CC(*)=O,3.4,173.6
*OC(C)C(*)=O,58.4,165.6
*CCC(=O)O*,-24.0,84.0
*CC(CC)(CC)C(=O)O*,60.0,244.25
*CC(C)(C)C(=O)O*,-12.0,234.0
*OC(CC)CC(*)=O,-15.4,115.25
*CC(C)(CC)C(=O)O*,-9.0,134.0
*CC(C)C(=O)O*,-25.0,97.5
*CC(C)(CCC)C(=O)O*,1.9,93.0
*OC(CC(*)=O)C(Cl)(Cl)Cl,163.5,268.0
*CCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,35.0,96.5
*CCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,45.0,132.0
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,90.0,232.2
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,77.0,246.0
*CC1CCC(COC(=O)c2cccc(C(=O)O*)c2)CC1,70.0,197.0
*CCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-12.0,137.0
*CCCCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,52.0,171.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CC(=O)O*,-35.1,62.75
*CCOC(=O)C1CCC(C(=O)O*)CC1,25.0,64.0
*CCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,40.0,333.0
*OC(C)COC(=O)c1cccc(C(*)=O)c1,77.0,83.5
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-7.0,147.0
*CCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,51.0,210.0
*Oc1cccc(C(*)=O)c1,162.0,193.0
*Oc1ccc(CC(*)=O)cc1,117.0,263.0
*OC(CC(*)=O)C(C)(Cl)Cl,109.0,237.0
*SC(C)C(*)=O,12.0,150.0
*CCC(C)CCC(=O)S*,-50.0,63.0
*Oc1ccc(Cc2ccc(OC(=O)CCCCC(*)=O)cc2)cc1,60.5,140.0
*CCCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,47.0,195.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O*,-60.5,34.5
*CCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,47.5,173.0
*Oc1cccc(OC(=O)CCC(*)=O)c1,38.2,260.0
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,267.0,533.5
*CCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-15.0,156.0
*CCCCOC(=O)CCCCCCCC(=O)O*,-62.5,49.0
*CCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,70.0,290.0
*CCCCOC(=O)CCCC(=O)O*,-36.5,38.5
*CCCCOC(=O)COCC(=O)O*,-23.0,70.0
*CC(C)(C)COC(=O)CCCCC(=O)O*,-31.55,37.0
*OC(C)CCOC(=O)c1ccc(-c2ccc(C(*)=O)cc2)cc1,92.5,135.0
*CCCOC(=O)c1cccc(C(=O)O*)c1,36.0,127.5
*CC(C)(C)COC(=O)CCC(=O)O*,-18.0,85.0
*Oc1c(C)cc(-c2cc(C)c(OC(=O)CCCCC(*)=O)c(C)c2)cc1C,108.0,315.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)CCCCC(*)=O)cc2)cc1,54.0,145.0
*Oc1c(-c2ccccc2)cc(Cc2cc(-c3ccccc3)c(OC(=O)CCCCC(*)=O)c(-c3ccccc3)c2)cc1-c1ccccc1,115.0,310.0
*O[Sn](CCCC)(CCCC)OC(=O)CCCCC(*)=O,110.0,236.0
*O[Sn](CCCC)(CCCC)OC(=O)c1ccc(C(*)=O)cc1,315.0,368.0
*CCCCCCCCCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,50.5,144.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(-c2cccc(C(=O)O*)c2)c1,45.0,145.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c2cccc(C(=O)O*)c2)c1,29.0,125.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(C(=O)O*)c2)c1,24.0,147.0
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,185.5,315.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(C(=O)O*)c1,23.5,104.0
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)CCCCC2)cc1,127.0,240.0
*Oc1c(C)cc(-c2cc(C)c(OC(=O)CCCCCCCCC(*)=O)c(C)c2)cc1C,57.0,192.0
*CCCCOC(=O)C1CCC(C(=O)O*)CC1,-10.5,167.0
*CCCCCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,64.0,213.0
*CCCCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,58.5,135.0
*CCCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,66.0,247.0
*CCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,88.0,206.0
*Oc1ccc(Cc2ccc(OC(=O)c3cc(OCCCCC)cc(C(*)=O)c3)cc2)cc1,110.0,254.0
*Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC(=O)c3cccc(C(F)(F)C(F)(F)C(F)(F)c4cccc(C(*)=O)c4)c3)c2)c1,74.0,175.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,14.25,246.5
*Oc1c(C)cc(-c2cc(C)c(OC(=O)CCCCCC(*)=O)c(C)c2)cc1C,96.0,230.0
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCCC(*)=O)c(C)c2)cc1C,84.0,248.0
*Oc1cccc(OC(=O)c2cc(OCCCCC)cc(C(*)=O)c2)c1,96.0,199.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)NC(=O)c5ccccc54)cc3)c2)cc1,325.0,400.0
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)NC(=O)c5ccccc54)cc3)cc2)cc1,327.0,400.0
*c1ccc(OC(=O)c2cc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc(C(C)(C)C)c2)cc1,279.0,343.0
*c1ccc(OC(=O)c2cc(Cl)cc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)c2)cc1,313.0,390.0
*OC1CCC(OC(=O)CCCCCCCCC(*)=O)CC1,66.0,151.2
*OC(C)COC(=O)c1ccccc1C(*)=O,95.0,47.5
*OC(C)COC(=O)c1ccc(C(*)=O)cc1,98.0,108.5
*Oc1ccc(-c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccccc1,132.0,296.0
*CCCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,44.0,165.0
*Oc1ccc(OC(=O)c2ccc([Si](C)(C)c3ccc(C(*)=O)cc3)cc2)cc1,176.0,296.0
*Oc1ccc(OC(=O)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1,195.0,378.0
*Oc1cccc(OC(=O)c2ccc([Si](C)(C)c3ccc(C(*)=O)cc3)cc2)c1,134.0,195.0
*Oc1cccc(OC(=O)c2ccc(C(C)(C)c3ccc(C(*)=O)cc3)cc2)c1,158.0,267.0
*C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,130.0,310.0
*C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,129.0,272.0
*C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,107.0,315.0
*C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,106.0,193.0
*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,105.0,281.0
*C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,100.0,198.0
*C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,102.0,236.0
*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,74.0,260.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3C)c2)c(C)c1,273.0,295.0
*Oc1ccc(OC(=O)CCCCCCCCC(*)=O)cc1,52.8,174.5
*Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,249.0,330.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)c5ccccc5C(=O)N4C)cc3)c2)cc1,285.0,395.0
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)c5ccccc5C(=O)N4C)cc3)cc2)cc1,282.0,400.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)C(=O)Nc5ccccc54)cc3)c2)cc1,256.0,320.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)C(=O)Nc5c(Cl)cc(Cl)cc54)cc3)c2)cc1,270.0,400.0
*CCC(=O)N*,145.5,340.0
*CCCCNC(=O)CCCCC(=O)N*,58.0,291.0
*CCCCCNC(=O)CCCCC(=O)N*,46.5,258.0
*CCCCCC(=O)N*,51.6,220.5
*CCCCCCNC(=O)CCCCC(=O)N*,58.2,262.0
*CCCCCCNC(=O)CCCCCC(=O)N*,54.0,226.5
*CCCCCCNC(=O)CCCCCCC(=O)N*,57.0,234.0
*CCCCCCNC(=O)CCCCCCCC(=O)N*,42.3,212.6
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,45.0,222.0
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,46.0,217.0
*CCCCCCC(=O)N*,52.0,223.0
*CCCCCCCNC(=O)CCCCC(=O)N*,55.0,246.5
*CCCCCCCNC(=O)CCCCCC(=O)N*,55.0,208.0
*CCCCCCCC(=O)N*,37.0,197.0
*CCCCCCCCNC(=O)CCCCC(=O)N*,50.0,252.0
*CCCCCCCCNC(=O)CCCCCCCCC(=O)N*,54.0,207.5
*CCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,50.0,201.0
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,48.0,175.0
*CCCCCCCCC(=O)N*,48.0,209.0
*CCCCCCCCCNC(=O)CCCCC(=O)N*,68.0,240.0
*CCCCCCCCCC(=O)N*,43.0,181.0
*CCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,49.0,192.0
*CCCCCCCCCCC(=O)N*,46.0,190.0
*CCCCCCCCCCCC(=O)N*,42.0,178.0
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,46.5,169.5
*CCCCCCCCCCCCC(=O)N*,41.0,183.0
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,48.0,158.0
*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,50.0,158.0
*NC1CCC(CC2CCC(NC(=O)CCCCC(*)=O)CC2)CC1,185.0,385.0
*CCCCCCCCCCNC(=O)CCCCC(=O)N*,45.0,237.0
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,60.0,201.0
*Cc1cc(C)c(CNC(=O)CCCCC(=O)N*)cc1C,70.0,283.0
*CCCCCCNC(=O)c1cc(C(=O)N*)cc(C(C)(C)C)c1,163.0,250.0
*CC1CCC(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)CC1,236.0,316.0
*Cc1cccc(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)c1,192.0,264.0
*Cc1ccc(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)cc1,204.0,292.0
*CC(C)CCC(C)CNC(=O)c1cc(C(=O)N*)cc(C(C)(C)C)c1,149.0,283.0
*CCC(C)C(C)CCNC(=O)c1cc(C(=O)N*)cc(C(C)(C)C)c1,173.0,273.0
*CCCCCCNC(=O)Cc1ccc(C(=O)N*)cc1,104.0,227.0
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,142.0,280.0
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCC(*)=O)CC2)CC1,144.0,310.0
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*)cc1,75.0,248.0
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,93.0,267.0
*CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N*)cc1,96.0,275.0
*CCc1ccc(CCNC(=O)CCCCCCCCC(=O)N*)cc1,105.0,300.0
*CCCCCCNC(=O)c1cccc(C(=O)N*)c1,120.0,205.0
*CCCCCCCCNC(=O)c1cccc(C(=O)N*)c1,110.0,215.0
*CC1CCC(CNC(=O)c2cccc(C(=O)N*)c2)CC1,208.0,310.0
*Nc1ccc(Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,265.0,416.0
*CCCCCCCCCCNC(=O)/C=C(\C)C(=O)N*,74.0,166.0
*CCCCCCNC(=O)CCC(C)CC(=O)N*,17.0,230.0
*Cc1cc(CNC(=O)CCCCC(=O)N*)cc(C(C)(C)C)c1,109.0,193.0
*Cc1cc(CNC(=O)c2cccc(C(=O)N*)c2)cc(C(C)(C)C)c1,188.0,281.0
*CC1CCCC(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)C1,200.0,300.0
*CCCCCNC(=O)Cc1ccc(C(=O)N*)cc1,103.0,216.0
*CCCCNC(=O)Cc1ccc(C(=O)N*)cc1,84.0,221.0
*CCCNC(=O)Cc1ccc(C(=O)N*)cc1,109.0,281.0
*CCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,110.0,280.0
*CCCCCCNC(=O)CCP(=O)(CCC(=O)N*)c1ccccc1,29.0,60.0
*CCCCCNC(=O)c1ccc(C(=O)N*)cc1,177.0,353.5
*Cc1cccc(CNC(=O)CCCCC(=O)N*)c1,84.0,236.0
*Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)N*)cc1,105.0,270.0
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCC(=O)N*)cc1,75.0,242.0
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)N*)cc1,90.0,241.0
*Cc1ccc(CNC(=O)CCCCCCCCC(=O)N*)cc1,115.0,295.5
*Cc1ccc(CNC(=O)CCCCCCCCCCCC(=O)N*)cc1,100.0,247.0
*Cc1ccc(CNC(=O)CCCCCCCCCC(=O)N*)cc1,110.0,264.0
*CCCCCCCCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,78.0,225.0
*CCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,85.0,263.0
*CCCCCCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,65.0,232.0
*Nc1cccc(NC(=O)c2cccc(C(*)=O)c2)c1,275.0,435.0
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2)cc1,295.0,500.0
*Nc1cccc(NC(=O)CCCCCCCCC(*)=O)c1,110.0,206.0
*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2)c1,238.0,500.0
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,295.0,600.0
*CCCC(CCNC(=O)c1ccc(C(=O)N*)cc1)C(C)C,150.0,217.0
*CCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,130.0,298.5
*CCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,160.0,341.0
*CCCCCCNC(=O)c1ccc(C(=O)N*)cc1,132.5,371.0
*CCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,115.0,371.0
*Cc1cc(C)c(CNC(=O)c2ccc(C(=O)N*)cc2)cc1C,225.0,400.0
*CCC(C)CC(C)(C)CNC(=O)c1ccc(C(=O)N*)cc1,147.0,227.0
*Nc1ccc(Cc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,294.5,500.0
*CCCC(CC)CCNC(=O)c1ccc(C(=O)N*)cc1,135.0,180.0
*c1ccc(NC(=O)CCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,194.0,202.0
*c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,178.0,215.0
*c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,160.0,182.0
*c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,163.0,217.0
*c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,72.34,203.0
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,82.0,180.0
*CCCCCCCCCCC(=O)NCCCCCC(=O)N*,25.5,184.0
*NC(C)CC(*)=O,125.0,335.0
*CCCC(=O)N*,62.8,265.0
*CCNC(=O)CCCCC(=O)N*,71.0,265.0
*CCCCCNC(=O)CC(=O)N*,65.0,248.0
*CCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,47.0,195.5
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,36.0,181.5
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,46.0,176.0
*CCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,40.0,182.0
*CCCNC(=O)c1ccc(C(=O)N*)cc1,180.0,399.0
*CCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,95.0,300.0
*CCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,85.0,299.0
*CCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,123.0,335.0
*CCCCCCCCCCNC(=O)c1ccc(Cc2ccc(C(=O)N*)cc2)cc1,140.0,256.0
*CCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,85.0,258.0
*CC1CCC(CNC(=O)CCCCC(=O)N*)CC1,113.0,343.5
*CC1CCC(CNC(=O)CCCCCCCCC(=O)N*)CC1,89.0,292.5
*CC1CCC(CNC(=O)CCCCCCCCCCC(=O)N*)CC1,85.0,280.0
*NC1CCC(CCC2CCC(NC(=O)CCCCCCCCC(*)=O)CC2)CC1,116.0,331.0
*NC1CCC(CCC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,105.0,293.0
*Nc1cccc(NC(=O)CCCCC(*)=O)c1,114.25,250.0
*Nc1ccc(NC(=O)CCCCC(*)=O)cc1,133.0,400.0
*Nc1cccc(NC(=O)CCCCCCC(*)=O)c1,115.5,302.0
*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,138.0,374.0
*Nc1ccc(Cc2ccc(NC(=O)CCCCCCCC(*)=O)cc2)cc1,140.0,268.0
*Nc1ccc(NC(=O)CCCCCCCCC(*)=O)cc1,125.0,334.0
*Nc1ccc(Cc2ccc(NC(=O)CCCCCCCCC(*)=O)cc2)cc1,160.0,270.0
*CCCCCCCCCCC(=O)N(*)C,-12.0,80.0
*CCCCCCCCCCCC(=O)N(*)C,-29.0,52.8
*NC(CCC(=O)OCc1ccccc1)C(*)=O,17.0,302.39
*C(=O)NCCCCCCNC(=O)c1ccc(*)nc1,80.0,272.0
*CCCCCCNC(=O)C(=O)N*,250.0,332.0
*Nc1ccc(CC(C)(C)NC(=O)CCC(*)=O)cc1,158.0,250.0
*Nc1ccc(CC(C)(C)NC(=O)CCCCC(*)=O)cc1,130.0,235.0
*Nc1ccc(CC(C)(C)NC(=O)CCCCCCCCC(*)=O)cc1,92.0,205.0
*Nc1ccc(CC(C)(C)NC(=O)c2ccc(C(*)=O)cc2)cc1,175.0,360.0
*CC(C)C(=O)N*,96.0,297.0
*C(=O)NC1CCCC(*)O1,145.0,295.0
*CC1CCCC(CNC(=O)CCCCC(=O)N*)C1,107.0,240.0
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(*)=O)CC2)CC1,131.0,246.0
*CCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,45.5,173.0
*CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,44.0,179.0
*CCCCCCNC(=O)CCc1ccc(CC(=O)N*)cc1,87.0,204.0
*CCCCCCNC(=O)CC(C)(C)c1ccc(C(C)(C)CC(=O)N*)cc1,91.0,193.0
*CCCCCCNC(=O)CC(C)c1ccc(C(C)CC(=O)N*)cc1,88.0,196.0
*Nc1ccc(C(C)(C)c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,279.0,424.0
*Nc1ccc(NC(=O)CCCCCCCC(*)=O)cc1,130.0,346.5
*Nc1ccc(NC(=O)CCCC(*)=O)cc1,135.0,404.0
*CCCCNC(=O)c1cccc(C(=O)N*)c1,141.0,253.5
*CCCCCCNC(=O)c1c(Cl)c(Cl)c(C(=O)N*)c(Cl)c1Cl,282.0,362.0
*CCCCCCCCc1nc2cc(NC(=O)CCCCC(=O)Nc3ccc4oc(*)nc4c3)ccc2o1,92.0,234.0
*CCCCCCc1nc2cc(NC(=O)CCCCCCCCC(=O)Nc3ccc4oc(*)nc4c3)ccc2o1,86.0,175.0
*CCCCCCCCc1nc2cc(NC(=O)CCCCCCCCC(=O)Nc3ccc4oc(*)nc4c3)ccc2o1,93.0,184.5
*CCCCCCc1nc2cc(NC(=O)CCCCCCC(=O)Nc3ccc4oc(*)nc4c3)ccc2o1,77.0,230.0
*Nc1ccc(NC(=O)CCCCCC(*)=O)cc1,133.0,372.5
*Nc1ccc(CCNC(=O)CCCCC(*)=O)cc1,115.0,312.0
*CCCCCCNC(=O)CCCCC(=O)NCC(=O)N*,53.4,232.6
*CCN(C)C(=O)CCCCCCCCC(=O)N(*)C,0.0,75.0
*CCCCCCNC(=O)c1ccc(C2(C)CC(C)(C)c3ccc(C(=O)N*)cc32)cc1,190.0,221.0
*CCOC(=O)NCCCCCCNC(=O)O*,56.0,170.0
*CCOC(=O)NCCCCCCCCCNC(=O)O*,44.0,168.0
*CCOC(=O)NCCCCCCCCCCNC(=O)O*,60.8,174.0
*CCCOC(=O)NCCCCCCNC(=O)O*,55.0,168.0
*CCCCOC(=O)NCCCCCCNC(=O)O*,33.5,180.0
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,33.0,140.0
*CCCCCOC(=O)NCCCCCCNC(=O)O*,33.0,159.0
*CCCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,33.0,151.0
*CCCCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,5.0,184.0
*CCCCCCOC(=O)NCCCCCCNC(=O)O*,168.0,170.5
*CCCCCCCOC(=O)NCCCCCCNC(=O)O*,55.0,148.5
*CCCCCCCCOC(=O)NCCCCCCNC(=O)O*,58.0,162.0
*CCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,58.0,150.5
*CCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,55.0,161.0
*CCCCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,36.0,139.0
*CCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O*,34.0,133.0
*CCCCCCCCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,39.0,134.0
*CCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O*,34.0,128.0
*CC#CCOC(=O)NCCCCCCNC(=O)O*,-45.0,150.0
*CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,9.0,154.0
*CC(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,38.0,180.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,16.0,116.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,25.0,156.0
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,-2.0,126.0
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,20.0,150.0
*CCOC(=O)Nc1cc(NC(=O)O*)ccc1C,52.0,187.5
*CCCCCCOC(=O)NCc1ccc(CNC(=O)O*)cc1,56.0,209.0
*CCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O*)cc1,49.0,184.0
*CCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O*)cc1,45.0,178.0
*CCCCCCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O*)cc1,47.0,168.0
*CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,139.0,255.0
*CCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,119.0,234.0
*CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,109.0,236.0
